split,symbol,timeframe,context_variant,strategy_type,strategy_id,holding_bars,cost_scenario,signal_count,executable_signal_count,rejected_signal_count,trade_count,hit_rate,average_gross_return,median_gross_return,average_net_return,median_net_return,cumulative_net_return,trade_return_volatility,maximum_drawdown,profit_factor,profit_factor_status,cost_burden,exposure_hours,covered_segment_count,segment_mean_min,segment_mean_median,segment_mean_max,positive_segment_share,uncertainty_note
development,ALL,1h,primary_d1,baseline,always_flat,,base_30bps,0,0,0,0,,,,,,,,,,NO_TRADES,0,0,0,,,,,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,always_flat,,high_50bps,0,0,0,0,,,,,,,,,,NO_TRADES,0,0,0,,,,,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,always_flat,,low_20bps,0,0,0,0,,,,,,,,,,NO_TRADES,0,0,0,,,,,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,periodic_entry_baseline,12,base_30bps,246,246,0,246,0.45528455284552843,-0.00048091168468549828,0.00030645954754482396,-0.0034749763555925314,-0.0026899636980176056,,0.047150831958881929,,0.8028312601568337,DEFINED,0.0029940646709070333,2952,4,-0.029271965709505219,8.8682187647453649e-05,0.0090482433485853525,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,periodic_entry_baseline,12,high_50bps,246,246,0,246,0.42276422764227645,-0.00048091168468549828,0.00030645954754482396,-0.0054660368356967111,-0.004682592636155114,,0.047056624431835552,,0.70803436195004854,DEFINED,0.0049851251510112139,2952,4,-0.031211483714719587,-0.0019094984946811597,0.007032161431743511,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,periodic_entry_baseline,12,low_20bps,246,246,0,246,0.46341463414634149,-0.00048091168468549828,0.00030645954754482396,-0.0024779523214190197,-0.0016921542580909388,,0.047198006401649409,,0.85506796391483952,DEFINED,0.0019970406367335217,2952,4,-0.028300751582544192,0.0010892716648684326,0.010057796873473171,0.5,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,periodic_entry_baseline,24,base_30bps,246,246,0,246,0.46747967479674796,0.0026431016685475339,-0.000566407866888885,-0.00036032100074263131,-0.0035602164335337139,,0.065865984150174375,,0.98444245525521545,DEFINED,0.0030034226692901653,5904,4,-0.0039184135473121096,0.0032677637423584377,0.011807789935607405,0.75,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,periodic_entry_baseline,24,high_50bps,246,246,0,246,0.45934959349593496,0.0026431016685475339,-0.000566407866888885,-0.0023576045731315302,-0.0055511066036643131,,0.065734383683640193,,0.90252755147649322,DEFINED,0.0050007062416790636,5904,4,-0.0059085880383574025,0.001263231243972636,0.0097861944350400264,0.75,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,periodic_entry_baseline,24,low_20bps,246,246,0,246,0.46747967479674796,0.0026431016685475339,-0.000566407866888885,0.00063981924845135023,-0.002563277682122167,,0.065931883116757309,,1.0282469476387608,DEFINED,0.0020032824200961839,5904,4,-0.0029218331723817686,0.004271533893061211,0.012820104388926912,0.75,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
development,ALL,1h,primary_d1,baseline,periodic_entry_baseline,4,base_30bps,246,246,0,246,0.3902439024390244,-0.003603167296558222,-0.0033015912749890797,-0.0065878792344055978,-0.0062872065853908365,,0.028418940115037452,,0.52113189300846952,DEFINED,0.0029847119378473758,984,4,-0.0094775870918909488,-0.0058123082312787865,-0.0031595668820072476,0,pooled_assets_descriptive_only_no_shared_capital_curve_no_iid_claim
