split,symbol,timeframe,strategy_type,strategy_id,holding_bars,cost_scenario,d1_trade_count,d2_trade_count,trade_count_delta,d1_average_net_return,d2_average_net_return,average_net_return_delta
development,BTCUSDT,1h,baseline,always_flat,,base_30bps,0,0,0,,,
development,BTCUSDT,1h,baseline,always_flat,,high_50bps,0,0,0,,,
development,BTCUSDT,1h,baseline,always_flat,,low_20bps,0,0,0,,,
development,BTCUSDT,1h,baseline,periodic_entry_baseline,12,base_30bps,82,82,0,-0.0033018732872243037,-0.0033018732872243037,0
development,BTCUSDT,1h,baseline,periodic_entry_baseline,12,high_50bps,82,82,0,-0.0052932796278640643,-0.0052932796278640643,0
development,BTCUSDT,1h,baseline,periodic_entry_baseline,12,low_20bps,82,82,0,-0.0023046760633009741,-0.0023046760633009741,0
development,BTCUSDT,1h,baseline,periodic_entry_baseline,24,base_30bps,82,82,0,-0.0022070144565537017,-0.0022070144565537017,0
development,BTCUSDT,1h,baseline,periodic_entry_baseline,24,high_50bps,82,82,0,-0.0042006083289636825,-0.0042006083289636825,0
development,BTCUSDT,1h,baseline,periodic_entry_baseline,24,low_20bps,82,82,0,-0.0012087218255484365,-0.0012087218255484365,0
development,BTCUSDT,1h,baseline,periodic_entry_baseline,4,base_30bps,82,82,0,-0.0050301414942385773,-0.0050301414942385773,0
development,BTCUSDT,1h,baseline,periodic_entry_baseline,4,high_50bps,82,82,0,-0.0070180947489604257,-0.0070180947489604257,0
development,BTCUSDT,1h,baseline,periodic_entry_baseline,4,low_20bps,82,82,0,-0.0040346734039536439,-0.0040346734039536439,0
development,BTCUSDT,1h,baseline,segment_buy_and_hold,,base_30bps,4,4,0,-0.12015366043561787,-0.12015366043561787,0
development,BTCUSDT,1h,baseline,segment_buy_and_hold,,high_50bps,4,4,0,-0.12191159649713723,-0.12191159649713723,0
development,BTCUSDT,1h,baseline,segment_buy_and_hold,,low_20bps,4,4,0,-0.11927337351244835,-0.11927337351244835,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,12,base_30bps,253,253,0,-0.0039101168098845188,-0.0039101168098845188,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,12,high_50bps,253,253,0,-0.0059003078778401882,-0.0059003078778401882,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,12,low_20bps,253,253,0,-0.0029135281340621397,-0.0029135281340621397,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,24,base_30bps,198,198,0,-0.002548902121909996,-0.002548902121909996,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,24,high_50bps,198,198,0,-0.0045418129015696905,-0.0045418129015696905,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,24,low_20bps,198,198,0,-0.0015509515497705497,-0.0015509515497705497,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,4,base_30bps,313,313,0,-0.0031602696392256753,-0.0031602696392256753,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,4,high_50bps,313,313,0,-0.0051519589044490503,-0.0051519589044490503,0
development,BTCUSDT,1h,signal,breakout_close_above_prior_high_20,4,low_20bps,313,313,0,-0.002162930740746213,-0.002162930740746213,0
development,BTCUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,12,base_30bps,246,246,0,-0.0049748349052597006,-0.0049748349052597006,0
development,BTCUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,12,high_50bps,246,246,0,-0.0069628986627396161,-0.0069628986627396161,0
development,BTCUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,12,low_20bps,246,246,0,-0.003979311480690962,-0.003979311480690962,0
development,BTCUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,24,base_30bps,170,170,0,-0.0049808864425998443,-0.0049808864425998443,0
development,BTCUSDT,1h,signal,mean_reversion_close_2pct_below_sma20,24,high_50bps,170,170,0,-0.006968938109087012,-0.006968938109087012,0
