split,symbol,timeframe,context_variant,signal_id,holding_bars,signal_count,executable_signal_count,rejected_boundary_count,rejected_overlap_count
development,BTCUSDT,1h,primary_d1,breakout_close_above_prior_high_20,12,503,253,0,250
development,BTCUSDT,1h,primary_d1,breakout_close_above_prior_high_20,24,503,198,0,305
development,BTCUSDT,1h,primary_d1,breakout_close_above_prior_high_20,4,503,313,0,190
development,BTCUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,12,1533,246,0,1287
development,BTCUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,24,1533,170,7,1356
development,BTCUSDT,1h,primary_d1,mean_reversion_close_2pct_below_sma20,4,1533,436,1,1096
development,BTCUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,12,771,160,0,611
development,BTCUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,24,771,116,0,655
development,BTCUSDT,1h,primary_d1,mean_reversion_rsi14_below_30,4,771,261,0,510
development,BTCUSDT,1h,primary_d1,momentum_return_12_positive,12,6339,753,14,5572
development,BTCUSDT,1h,primary_d1,momentum_return_12_positive,24,6339,440,15,5884
development,BTCUSDT,1h,primary_d1,momentum_return_12_positive,4,6339,1640,3,4696
development,BTCUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,12,153,147,1,5
development,BTCUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,24,153,143,2,8
development,BTCUSDT,1h,primary_d1,trend_sma20_cross_above_sma50,4,153,153,0,0
development,BTCUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,12,503,253,0,250
development,BTCUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,24,503,198,0,305
development,BTCUSDT,1h,sensitivity_d2,breakout_close_above_prior_high_20,4,503,313,0,190
development,BTCUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,12,1533,246,0,1287
development,BTCUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,24,1533,170,7,1356
development,BTCUSDT,1h,sensitivity_d2,mean_reversion_close_2pct_below_sma20,4,1533,436,1,1096
development,BTCUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,12,771,160,0,611
development,BTCUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,24,771,116,0,655
development,BTCUSDT,1h,sensitivity_d2,mean_reversion_rsi14_below_30,4,771,261,0,510
development,BTCUSDT,1h,sensitivity_d2,momentum_return_12_positive,12,6339,753,14,5572
development,BTCUSDT,1h,sensitivity_d2,momentum_return_12_positive,24,6339,440,15,5884
development,BTCUSDT,1h,sensitivity_d2,momentum_return_12_positive,4,6339,1640,3,4696
development,BTCUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,12,153,147,1,5
development,BTCUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,24,153,143,2,8
development,BTCUSDT,1h,sensitivity_d2,trend_sma20_cross_above_sma50,4,153,153,0,0
development,BTCUSDT,4h,primary_d1,breakout_close_above_prior_high_20,1,126,98,0,28
development,BTCUSDT,4h,primary_d1,breakout_close_above_prior_high_20,3,126,83,0,43
development,BTCUSDT,4h,primary_d1,breakout_close_above_prior_high_20,6,126,65,1,60
development,BTCUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,1,855,472,1,382
development,BTCUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,3,855,271,3,581
development,BTCUSDT,4h,primary_d1,mean_reversion_close_2pct_below_sma20,6,855,178,3,674
development,BTCUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,1,210,129,0,81
development,BTCUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,3,210,87,0,123
development,BTCUSDT,4h,primary_d1,mean_reversion_rsi14_below_30,6,210,62,0,148
development,BTCUSDT,4h,primary_d1,momentum_return_12_positive,1,1507,826,2,679
development,BTCUSDT,4h,primary_d1,momentum_return_12_positive,3,1507,459,6,1042
development,BTCUSDT,4h,primary_d1,momentum_return_12_positive,6,1507,293,13,1201
development,BTCUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,1,38,38,0,0
development,BTCUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,3,38,38,0,0
development,BTCUSDT,4h,primary_d1,trend_sma20_cross_above_sma50,6,38,38,0,0
development,BTCUSDT,4h,sensitivity_d2,breakout_close_above_prior_high_20,1,126,98,0,28
