source,source_file,symbol,timeframe,pilot_month,timestamp_unit,rows,expected_rows,expected_month_start_utc,actual_month_start_utc,expected_last_open_utc,actual_last_open_utc,expected_month_end_utc,actual_month_end_utc,month_start_mismatch,last_candle_open_mismatch,month_end_mismatch,timestamps_outside_month,duplicate_timestamps,not_strictly_increasing,unexpected_spacing_events,missing_intervals,timestamp_alignment_errors,candle_duration_errors,numeric_null_count,ohlc_bound_violations,non_positive_price_rows,negative_volume_rows,quality_pass
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2024-01.zip,BTCUSDT,1h,2024-01,ms,744,744,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,2024-01-31T23:00:00+00:00,2024-01-31T23:59:59.999000+00:00,2024-01-31T23:59:59.999000+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2025-01.zip,BTCUSDT,1h,2025-01,us,744,744,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-31T23:00:00+00:00,2025-01-31T23:00:00+00:00,2025-01-31T23:59:59.999999+00:00,2025-01-31T23:59:59.999999+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/BTCUSDT/4h/BTCUSDT-4h-2024-01.zip,BTCUSDT,4h,2024-01,ms,186,186,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-31T20:00:00+00:00,2024-01-31T20:00:00+00:00,2024-01-31T23:59:59.999000+00:00,2024-01-31T23:59:59.999000+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/BTCUSDT/4h/BTCUSDT-4h-2025-01.zip,BTCUSDT,4h,2025-01,us,186,186,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-31T20:00:00+00:00,2025-01-31T20:00:00+00:00,2025-01-31T23:59:59.999999+00:00,2025-01-31T23:59:59.999999+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2024-01.zip,ETHUSDT,1h,2024-01,ms,744,744,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,2024-01-31T23:00:00+00:00,2024-01-31T23:59:59.999000+00:00,2024-01-31T23:59:59.999000+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/ETHUSDT/1h/ETHUSDT-1h-2025-01.zip,ETHUSDT,1h,2025-01,us,744,744,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-31T23:00:00+00:00,2025-01-31T23:00:00+00:00,2025-01-31T23:59:59.999999+00:00,2025-01-31T23:59:59.999999+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2024-01.zip,ETHUSDT,4h,2024-01,ms,186,186,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-31T20:00:00+00:00,2024-01-31T20:00:00+00:00,2024-01-31T23:59:59.999000+00:00,2024-01-31T23:59:59.999000+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/ETHUSDT/4h/ETHUSDT-4h-2025-01.zip,ETHUSDT,4h,2025-01,us,186,186,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-31T20:00:00+00:00,2025-01-31T20:00:00+00:00,2025-01-31T23:59:59.999999+00:00,2025-01-31T23:59:59.999999+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/SOLUSDT/1h/SOLUSDT-1h-2024-01.zip,SOLUSDT,1h,2024-01,ms,744,744,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,2024-01-31T23:00:00+00:00,2024-01-31T23:00:00+00:00,2024-01-31T23:59:59.999000+00:00,2024-01-31T23:59:59.999000+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
Binance Public Data,data/raw/pilot/binance/spot/monthly/klines/SOLUSDT/1h/SOLUSDT-1h-2025-01.zip,SOLUSDT,1h,2025-01,us,744,744,2025-01-01T00:00:00+00:00,2025-01-01T00:00:00+00:00,2025-01-31T23:00:00+00:00,2025-01-31T23:00:00+00:00,2025-01-31T23:59:59.999999+00:00,2025-01-31T23:59:59.999999+00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
