symbol,timeframe,calendar_year,row_count,base_volume_sum,quote_volume_sum,trade_count_sum,base_volume_mean,quote_volume_mean,trade_count_mean,close_median_usd
BTCUSDT,1h,2021,4416,14512780.376879,606269423724.072,348379372,3286.40859983674,137289271.676647,78890.2563405797,39013.61
BTCUSDT,1h,2022,8760,53451194.1824661,1199375282701.22,1200493855,6101.7344957153,136914986.609729,137042.677511416,23148.205
BTCUSDT,1h,2023,8016,27089147.3518701,689303161424.838,711300023,3379.3846496844,85990913.3514019,88735.0328093812,27949.51
BTCUSDT,1h,2024,8784,12931112.169361,849745396455.74,1015161007,1472.12114860667,96737863.8952345,115569.331397996,64203.095
BTCUSDT,1h,2025,8760,7710511.34549599,767301523621.073,1363768475,880.195359074885,87591498.1302595,155681.332762557,103560.36
BTCUSDT,4h,2021,1104,14512780.376879,606269423724.071,348379372,13145.6343993469,549157086.706586,315561.025362319,39067.925
BTCUSDT,4h,2022,2190,53451194.1824661,1199375282701.22,1200493855,24406.9379828612,547659946.438912,548170.710045662,23151.07
BTCUSDT,4h,2023,2004,27089147.35187,689303161424.841,711300023,13517.5385987375,343963653.405609,354940.131237525,27943.975
BTCUSDT,4h,2024,2196,12931112.169361,849745396455.74,1015161007,5888.48459442668,386951455.580938,462277.325591985,64202.595
BTCUSDT,4h,2025,2190,7710511.345496,767301523621.073,1363768475,3520.78143629954,350365992.521038,622725.331050228,103585.715
ETHUSDT,1h,2021,4416,184869322.82313,438668888168.07,270682267,41863.5241900205,99336251.8496536,61295.8032155797,2578.75
ETHUSDT,1h,2022,8760,258320183.57821,463880530873.18,329476404,29488.6054313025,52954398.5015045,37611.4616438356,1686.85
ETHUSDT,1h,2023,8016,115184056.393201,208934501225.458,186975625,14369.2685121258,26064683.286609,23325.3025199601,1825.77
ETHUSDT,1h,2024,8784,148489321.9698,460443848007.306,743654572,16904.5220821722,52418470.8569337,84660.128870674,3087.31
ETHUSDT,1h,2025,8760,209658899.10258,633278049478.002,1392255709,23933.6642811165,72292014.7805939,158933.300114155,2982.26
ETHUSDT,4h,2021,1104,184869322.82313,438668888168.068,270682267,167454.096760081,397345007.398613,245183.212862319,2581.625
ETHUSDT,4h,2022,2190,258320183.57821,463880530873.179,329476404,117954.42172521,211817594.006018,150445.846575342,1689.3
ETHUSDT,4h,2023,2004,115184056.3932,208934501225.458,186975625,57477.074048503,104258733.146436,93301.2100798403,1826.03
ETHUSDT,4h,2024,2196,148489321.9698,460443848007.305,743654572,67618.0883286884,209673883.427734,338640.515482696,3085.47
ETHUSDT,4h,2025,2190,209658899.10258,633278049478.003,1392255709,95734.6571244659,289168059.122376,635733.200456621,2981.175
SOLUSDT,1h,2021,4416,962723149.931003,55909477301.2812,98843696,218007.959676405,12660660.6207611,22383.0833333333,38.2535
SOLUSDT,1h,2022,8760,1421163747.01099,69304732844.8493,122361832,162233.30445331,7911499.18320198,13968.2456621005,40.025
SOLUSDT,1h,2023,8016,1781145311.818,63520492908.594,90868604,222198.766444361,7924213.18719984,11335.9036926148,22.595
SOLUSDT,1h,2024,8784,1691560948.64799,260964016413.759,485027149,192572.967742258,29709018.2620399,55217.1162340619,149.085
SOLUSDT,1h,2025,8760,1482763715.315,258569927262.876,887665545,169265.264305365,29517114.9843466,101331.683219178,165.925
SOLUSDT,4h,2021,1104,962723149.931,55909477301.2813,98843696,872031.838705616,50642642.4830447,89532.3333333333,38.1665
SOLUSDT,4h,2022,2190,1421163747.011,69304732844.8496,122361832,648933.217813242,31645996.732808,55872.9826484018,40.055
SOLUSDT,4h,2023,2004,1781145311.818,63520492908.5939,90868604,888795.065777444,31696852.7487994,45343.6147704591,22.605
SOLUSDT,4h,2024,2196,1691560948.648,260964016413.759,485027149,770291.870969033,118836073.04816,220868.464936248,149.245
SOLUSDT,4h,2025,2190,1482763715.315,258569927262.876,887665545,677061.057221461,118068459.937386,405326.732876712,166.185
