symbol,timeframe,calendar_year,segment_id,row_count,first_timestamp_utc,last_timestamp_utc,expected_rows_between_observed_bounds,coverage_within_observed_bounds_percent
BTCUSDT,1h,2021,SEGMENT_001,744,2021-01-01T00:00:00.000000Z,2021-01-31T23:00:00.000000Z,744,100
BTCUSDT,1h,2021,SEGMENT_002,2208,2021-05-01T00:00:00.000000Z,2021-07-31T23:00:00.000000Z,2208,100
BTCUSDT,1h,2021,SEGMENT_003,1464,2021-10-01T00:00:00.000000Z,2021-11-30T23:00:00.000000Z,1464,100
BTCUSDT,1h,2022,SEGMENT_004,8760,2022-01-01T00:00:00.000000Z,2022-12-31T23:00:00.000000Z,8760,100
BTCUSDT,1h,2023,SEGMENT_004,1416,2023-01-01T00:00:00.000000Z,2023-02-28T23:00:00.000000Z,1416,100
BTCUSDT,1h,2023,SEGMENT_005,6600,2023-04-01T00:00:00.000000Z,2023-12-31T23:00:00.000000Z,6600,100
BTCUSDT,1h,2024,SEGMENT_005,8784,2024-01-01T00:00:00.000000Z,2024-12-31T23:00:00.000000Z,8784,100
BTCUSDT,1h,2025,SEGMENT_005,8760,2025-01-01T00:00:00.000000Z,2025-12-31T23:00:00.000000Z,8760,100
BTCUSDT,4h,2021,SEGMENT_001,186,2021-01-01T00:00:00.000000Z,2021-01-31T20:00:00.000000Z,186,100
BTCUSDT,4h,2021,SEGMENT_002,552,2021-05-01T00:00:00.000000Z,2021-07-31T20:00:00.000000Z,552,100
BTCUSDT,4h,2021,SEGMENT_003,366,2021-10-01T00:00:00.000000Z,2021-11-30T20:00:00.000000Z,366,100
BTCUSDT,4h,2022,SEGMENT_004,2190,2022-01-01T00:00:00.000000Z,2022-12-31T20:00:00.000000Z,2190,100
BTCUSDT,4h,2023,SEGMENT_004,354,2023-01-01T00:00:00.000000Z,2023-02-28T20:00:00.000000Z,354,100
BTCUSDT,4h,2023,SEGMENT_005,1650,2023-04-01T00:00:00.000000Z,2023-12-31T20:00:00.000000Z,1650,100
BTCUSDT,4h,2024,SEGMENT_005,2196,2024-01-01T00:00:00.000000Z,2024-12-31T20:00:00.000000Z,2196,100
BTCUSDT,4h,2025,SEGMENT_005,2190,2025-01-01T00:00:00.000000Z,2025-12-31T20:00:00.000000Z,2190,100
ETHUSDT,1h,2021,SEGMENT_001,744,2021-01-01T00:00:00.000000Z,2021-01-31T23:00:00.000000Z,744,100
ETHUSDT,1h,2021,SEGMENT_002,2208,2021-05-01T00:00:00.000000Z,2021-07-31T23:00:00.000000Z,2208,100
ETHUSDT,1h,2021,SEGMENT_003,1464,2021-10-01T00:00:00.000000Z,2021-11-30T23:00:00.000000Z,1464,100
ETHUSDT,1h,2022,SEGMENT_004,8760,2022-01-01T00:00:00.000000Z,2022-12-31T23:00:00.000000Z,8760,100
ETHUSDT,1h,2023,SEGMENT_004,1416,2023-01-01T00:00:00.000000Z,2023-02-28T23:00:00.000000Z,1416,100
ETHUSDT,1h,2023,SEGMENT_005,6600,2023-04-01T00:00:00.000000Z,2023-12-31T23:00:00.000000Z,6600,100
ETHUSDT,1h,2024,SEGMENT_005,8784,2024-01-01T00:00:00.000000Z,2024-12-31T23:00:00.000000Z,8784,100
ETHUSDT,1h,2025,SEGMENT_005,8760,2025-01-01T00:00:00.000000Z,2025-12-31T23:00:00.000000Z,8760,100
ETHUSDT,4h,2021,SEGMENT_001,186,2021-01-01T00:00:00.000000Z,2021-01-31T20:00:00.000000Z,186,100
ETHUSDT,4h,2021,SEGMENT_002,552,2021-05-01T00:00:00.000000Z,2021-07-31T20:00:00.000000Z,552,100
ETHUSDT,4h,2021,SEGMENT_003,366,2021-10-01T00:00:00.000000Z,2021-11-30T20:00:00.000000Z,366,100
ETHUSDT,4h,2022,SEGMENT_004,2190,2022-01-01T00:00:00.000000Z,2022-12-31T20:00:00.000000Z,2190,100
ETHUSDT,4h,2023,SEGMENT_004,354,2023-01-01T00:00:00.000000Z,2023-02-28T20:00:00.000000Z,354,100
ETHUSDT,4h,2023,SEGMENT_005,1650,2023-04-01T00:00:00.000000Z,2023-12-31T20:00:00.000000Z,1650,100
ETHUSDT,4h,2024,SEGMENT_005,2196,2024-01-01T00:00:00.000000Z,2024-12-31T20:00:00.000000Z,2196,100
ETHUSDT,4h,2025,SEGMENT_005,2190,2025-01-01T00:00:00.000000Z,2025-12-31T20:00:00.000000Z,2190,100
SOLUSDT,1h,2021,SEGMENT_001,744,2021-01-01T00:00:00.000000Z,2021-01-31T23:00:00.000000Z,744,100
SOLUSDT,1h,2021,SEGMENT_002,2208,2021-05-01T00:00:00.000000Z,2021-07-31T23:00:00.000000Z,2208,100
SOLUSDT,1h,2021,SEGMENT_003,1464,2021-10-01T00:00:00.000000Z,2021-11-30T23:00:00.000000Z,1464,100
SOLUSDT,1h,2022,SEGMENT_004,8760,2022-01-01T00:00:00.000000Z,2022-12-31T23:00:00.000000Z,8760,100
SOLUSDT,1h,2023,SEGMENT_004,1416,2023-01-01T00:00:00.000000Z,2023-02-28T23:00:00.000000Z,1416,100
SOLUSDT,1h,2023,SEGMENT_005,6600,2023-04-01T00:00:00.000000Z,2023-12-31T23:00:00.000000Z,6600,100
SOLUSDT,1h,2024,SEGMENT_005,8784,2024-01-01T00:00:00.000000Z,2024-12-31T23:00:00.000000Z,8784,100
SOLUSDT,1h,2025,SEGMENT_005,8760,2025-01-01T00:00:00.000000Z,2025-12-31T23:00:00.000000Z,8760,100
SOLUSDT,4h,2021,SEGMENT_001,186,2021-01-01T00:00:00.000000Z,2021-01-31T20:00:00.000000Z,186,100
SOLUSDT,4h,2021,SEGMENT_002,552,2021-05-01T00:00:00.000000Z,2021-07-31T20:00:00.000000Z,552,100
SOLUSDT,4h,2021,SEGMENT_003,366,2021-10-01T00:00:00.000000Z,2021-11-30T20:00:00.000000Z,366,100
SOLUSDT,4h,2022,SEGMENT_004,2190,2022-01-01T00:00:00.000000Z,2022-12-31T20:00:00.000000Z,2190,100
SOLUSDT,4h,2023,SEGMENT_004,354,2023-01-01T00:00:00.000000Z,2023-02-28T20:00:00.000000Z,354,100
SOLUSDT,4h,2023,SEGMENT_005,1650,2023-04-01T00:00:00.000000Z,2023-12-31T20:00:00.000000Z,1650,100
SOLUSDT,4h,2024,SEGMENT_005,2196,2024-01-01T00:00:00.000000Z,2024-12-31T20:00:00.000000Z,2196,100
SOLUSDT,4h,2025,SEGMENT_005,2190,2025-01-01T00:00:00.000000Z,2025-12-31T20:00:00.000000Z,2190,100
