symbol,timeframe,segment_id,row_count,first_timestamp_utc,last_timestamp_utc,close_min_usd,close_max_usd,base_volume_median,candle_range_median,close_to_close_return_std,close_to_close_return_null_count
BTCUSDT,1h,SEGMENT_001,744,2021-01-01T00:00:00.000000Z,2021-01-31T23:00:00.000000Z,28995.13,41454.13,3783.96049,0.0195134526813682,0.0142487956997896,1
BTCUSDT,1h,SEGMENT_002,2208,2021-05-01T00:00:00.000000Z,2021-07-31T23:00:00.000000Z,29238.99,59356.76,2863.390595,0.0125868301817834,0.010575432850575,1
BTCUSDT,1h,SEGMENT_003,1464,2021-10-01T00:00:00.000000Z,2021-11-30T23:00:00.000000Z,43379.01,68633.69,1539.310706,0.00846670892282053,0.00648095273232292,1
BTCUSDT,1h,SEGMENT_004,10176,2022-01-01T00:00:00.000000Z,2023-02-28T23:00:00.000000Z,15649.52,47970.99,5202.31366,0.00691590382254126,0.00657539923363495,1
BTCUSDT,1h,SEGMENT_005,24144,2023-04-01T00:00:00.000000Z,2025-12-31T23:00:00.000000Z,24923.51,126011.18,866.215445,0.00504002057417896,0.00492253355990957,1
BTCUSDT,4h,SEGMENT_001,186,2021-01-01T00:00:00.000000Z,2021-01-31T20:00:00.000000Z,29029.04,41286.67,15865.036534,0.0400583926519413,0.0285444909842031,1
BTCUSDT,4h,SEGMENT_002,552,2021-05-01T00:00:00.000000Z,2021-07-31T20:00:00.000000Z,29600.46,59356.76,12465.84059,0.0260011103768922,0.021112075645233,1
BTCUSDT,4h,SEGMENT_003,366,2021-10-01T00:00:00.000000Z,2021-11-30T20:00:00.000000Z,43635.79,68490,6815.744335,0.0175772605265792,0.0134866080719497,1
BTCUSDT,4h,SEGMENT_004,2544,2022-01-01T00:00:00.000000Z,2023-02-28T20:00:00.000000Z,15722.98,47956.28,21758.42432,0.0148955627758387,0.0126649942746813,1
BTCUSDT,4h,SEGMENT_005,6036,2023-04-01T00:00:00.000000Z,2025-12-31T20:00:00.000000Z,24959.95,125410.81,3780.952335,0.0108402645543139,0.00969507733247362,1
ETHUSDT,1h,SEGMENT_001,744,2021-01-01T00:00:00.000000Z,2021-01-31T23:00:00.000000Z,719.9,1456.96,65482.13374,0.0233650199654298,0.0172851223400915,1
ETHUSDT,1h,SEGMENT_002,2208,2021-05-01T00:00:00.000000Z,2021-07-31T23:00:00.000000Z,1726.64,4332.81,33345.883305,0.0162192054532956,0.0145266015897168,1
ETHUSDT,1h,SEGMENT_003,1464,2021-10-01T00:00:00.000000Z,2021-11-30T23:00:00.000000Z,2988.85,4846.71,14772.64145,0.0099896332301036,0.00745570837743137,1
