source,object_type,symbol_or_asset,period_or_page,url,raw_file,retrieved_at_utc,bytes,sha256,row_count,provider_checksum,provider_checksum_match,cache_status
Binance Public Data,archive,BTCUSDT,2021-01,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-01.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-01.zip,2026-07-28T19:29:25+00:00,45988,a2fa12bec12d942e58dbc7fb223973bd2173dfccf8e09edc501bda40b3c3638e,,a2fa12bec12d942e58dbc7fb223973bd2173dfccf8e09edc501bda40b3c3638e,True,cached_valid
Binance Public Data,checksum,BTCUSDT,2021-01,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-01.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-01.zip.CHECKSUM,2026-07-28T19:29:25+00:00,88,bdb19f302bd62bd70f726b251f939f95257b9383f55698a67be98c87f2acc361,,a2fa12bec12d942e58dbc7fb223973bd2173dfccf8e09edc501bda40b3c3638e,True,cached_valid
Binance Public Data,archive,BTCUSDT,2021-02,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-02.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-02.zip,2026-08-01T05:16:41+00:00,41575,8cd20f5058dc7585cfa874a3ab0e5fd0096f369c182d8fda80dc16495050e018,,8cd20f5058dc7585cfa874a3ab0e5fd0096f369c182d8fda80dc16495050e018,True,cached_valid
Binance Public Data,checksum,BTCUSDT,2021-02,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-02.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-02.zip.CHECKSUM,2026-08-01T05:16:41+00:00,88,693c580d904b704c293e257c5c82ee49264b70a07a40f5173167b0d5f04d0388,,8cd20f5058dc7585cfa874a3ab0e5fd0096f369c182d8fda80dc16495050e018,True,cached_valid
Binance Public Data,archive,BTCUSDT,2021-03,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-03.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-03.zip,2026-08-01T05:16:43+00:00,45712,748783e9715835dd334fbc0cbbff0518962ebbcbe0430acb65f2f506193bad2d,,748783e9715835dd334fbc0cbbff0518962ebbcbe0430acb65f2f506193bad2d,True,downloaded_or_resumed
Binance Public Data,checksum,BTCUSDT,2021-03,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-03.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-03.zip.CHECKSUM,2026-08-01T05:16:43+00:00,88,ee1da631b9a76919482851df8a4dce1d011ac7625c2ee2efb54584a70c8c51ce,,748783e9715835dd334fbc0cbbff0518962ebbcbe0430acb65f2f506193bad2d,True,downloaded_or_resumed
Binance Public Data,archive,BTCUSDT,2021-04,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-04.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-04.zip,2026-08-01T05:16:44+00:00,43918,e5a33803814e6771c4c85e8f2e28e90e46d40f14ca3180a8c10c305cf07fab74,,e5a33803814e6771c4c85e8f2e28e90e46d40f14ca3180a8c10c305cf07fab74,True,downloaded_or_resumed
Binance Public Data,checksum,BTCUSDT,2021-04,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-04.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-04.zip.CHECKSUM,2026-08-01T05:16:44+00:00,88,196f424d290f65f136c2a3be29b810ad4a082ce7f25aceaaece8dbfeda601e76,,e5a33803814e6771c4c85e8f2e28e90e46d40f14ca3180a8c10c305cf07fab74,True,downloaded_or_resumed
Binance Public Data,archive,BTCUSDT,2021-05,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-05.zip,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-05.zip,2026-08-01T05:16:45+00:00,46221,728503d417904afff17b403e66f74c18ed0067d3f8e4215130c8a97180c9fccc,,728503d417904afff17b403e66f74c18ed0067d3f8e4215130c8a97180c9fccc,True,downloaded_or_resumed
Binance Public Data,checksum,BTCUSDT,2021-05,https://data.binance.vision/data/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-05.zip.CHECKSUM,data/raw/full_import/binance/spot/monthly/klines/BTCUSDT/1h/BTCUSDT-1h-2021-05.zip.CHECKSUM,2026-08-01T05:16:45+00:00,88,e877627ca2a6b573ab615db552d5684fdd9d7cbb17f374f2e6355923e8f84fe2,,728503d417904afff17b403e66f74c18ed0067d3f8e4215130c8a97180c9fccc,True,downloaded_or_resumed
