source,symbol,month,anomaly_type,expected_value,actual_value,details,source_integrity_pass,continuity_pass,quality_pass,processing_status
Binance Public Data,BTCUSDT,2021-02,row_count_mismatch,672,671,row_delta=-1,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-02,missing_open_time,2021-02-11T04:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-02,irregular_hour_spacing,3600 seconds,7200.0 seconds,"{""previous_open_utc"":""2021-02-11T03:00:00+00:00"",""current_open_utc"":""2021-02-11T05:00:00+00:00"",""gap_seconds"":7200.0}",True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-02,candle_close_time_mismatch,2021-02-11T03:59:59.999000+00:00,2021-02-11T03:40:54.773000+00:00,open_utc=2021-02-11T03:00:00+00:00,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-03,row_count_mismatch,744,743,row_delta=-1,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-03,missing_open_time,2021-03-06T02:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-03,irregular_hour_spacing,3600 seconds,7200.0 seconds,"{""previous_open_utc"":""2021-03-06T01:00:00+00:00"",""current_open_utc"":""2021-03-06T03:00:00+00:00"",""gap_seconds"":7200.0}",True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,row_count_mismatch,720,715,row_delta=-5,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,missing_open_time,2021-04-20T02:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,missing_open_time,2021-04-20T03:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,missing_open_time,2021-04-25T05:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,missing_open_time,2021-04-25T06:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,missing_open_time,2021-04-25T07:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,irregular_hour_spacing,3600 seconds,10800.0 seconds,"{""previous_open_utc"":""2021-04-20T01:00:00+00:00"",""current_open_utc"":""2021-04-20T04:00:00+00:00"",""gap_seconds"":10800.0}",True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,irregular_hour_spacing,3600 seconds,14400.0 seconds,"{""previous_open_utc"":""2021-04-25T04:00:00+00:00"",""current_open_utc"":""2021-04-25T08:00:00+00:00"",""gap_seconds"":14400.0}",True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-04,candle_close_time_mismatch,2021-04-25T04:59:59.999000+00:00,2021-04-25T04:00:58.146000+00:00,open_utc=2021-04-25T04:00:00+00:00,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-08,row_count_mismatch,744,740,row_delta=-4,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-08,missing_open_time,2021-08-13T02:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-08,missing_open_time,2021-08-13T03:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-08,missing_open_time,2021-08-13T04:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-08,missing_open_time,2021-08-13T05:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-08,irregular_hour_spacing,3600 seconds,18000.0 seconds,"{""previous_open_utc"":""2021-08-13T01:00:00+00:00"",""current_open_utc"":""2021-08-13T06:00:00+00:00"",""gap_seconds"":18000.0}",True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-08,candle_close_time_mismatch,2021-08-13T01:59:59.999000+00:00,2021-08-13T01:59:59+00:00,open_utc=2021-08-13T01:00:00+00:00,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-09,row_count_mismatch,720,718,row_delta=-2,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-09,missing_open_time,2021-09-29T07:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-09,missing_open_time,2021-09-29T08:00:00+00:00,,Keine synthetische Kerze erzeugt.,True,False,False,source_continuity_anomaly
Binance Public Data,BTCUSDT,2021-09,irregular_hour_spacing,3600 seconds,10800.0 seconds,"{""previous_open_utc"":""2021-09-29T06:00:00+00:00"",""current_open_utc"":""2021-09-29T09:00:00+00:00"",""gap_seconds"":10800.0}",True,False,False,source_continuity_anomaly
